name,medal_type,medal_date,gender,birth_date,country,discipline,event
STOCKDALE Joseph,OURO,2024-08-02,MASCULINO,1999-10-18,Great Britain,Equestrian,Jumping Team
WARD McLain,PRATA,2024-08-02,MASCULINO,1975-10-17,United States,Equestrian,Jumping Team
FARRINGTON Kent,PRATA,2024-08-02,MASCULINO,1980-12-28,United States,Equestrian,Jumping Team
KRAUT Laura,PRATA,2024-08-02,FEMININO,1965-11-14,United States,Equestrian,Jumping Team
COOK Karl,PRATA,2024-08-02,MASCULINO,1990-12-25,United States,Equestrian,Jumping Team
STAUT Kevin,BRONZE,2024-08-02,MASCULINO,1980-11-15,France,Equestrian,Jumping Team
DELESTRE Simon,BRONZE,2024-08-02,MASCULINO,1981-06-21,France,Equestrian,Jumping Team
EPAILLARD Julien,BRONZE,2024-08-02,MASCULINO,1977-07-24,France,Equestrian,Jumping Team
PERREAU Olivier,BRONZE,2024-08-02,MASCULINO,1986-06-23,France,Equestrian,Jumping Team
SIKLOSI Gergely,OURO,2024-08-02,MASCULINO,1997-09-04,Hungary,Fencing,Men's Epee Team
KOCH Mate Tamas,OURO,2024-08-02,MASCULINO,1999-09-17,Hungary,Fencing,Men's Epee Team
ANDRASFI Tibor,OURO,2024-08-02,MASCULINO,1999-12-10,Hungary,Fencing,Men's Epee Team
NAGY David,OURO,2024-08-02,MASCULINO,1999-07-14,Hungary,Fencing,Men's Epee Team
KANO Koki,PRATA,2024-08-02,MASCULINO,1997-12-19,Japan,Fencing,Men's Epee Team
MINOBE Kazuyasu,PRATA,2024-08-02,MASCULINO,1987-07-15,Japan,Fencing,Men's Epee Team
YAMADA Masaru,PRATA,2024-08-02,MASCULINO,1994-06-14,Japan,Fencing,Men's Epee Team
KOMATA Akira,PRATA,2024-08-02,MASCULINO,1998-01-31,Japan,Fencing,Men's Epee Team
BERAN Jiri,BRONZE,2024-08-02,MASCULINO,1982-01-18,Czechia,Fencing,Men's Epee Team
JURKA Jakub,BRONZE,2024-08-02,MASCULINO,1999-06-13,Czechia,Fencing,Men's Epee Team
RUBES Martin,BRONZE,2024-08-02,MASCULINO,1996-09-16,Czechia,Fencing,Men's Epee Team
CUPR Michal,BRONZE,2024-08-02,MASCULINO,1991-12-23,Czechia,Fencing,Men's Epee Team
Mc CARTHY Fintan,OURO,2024-08-02,MASCULINO,1996-11-23,Ireland,Rowing,Lightweight Men's Double Sculls
O DONOVAN Paul,OURO,2024-08-02,MASCULINO,1994-04-19,Ireland,Rowing,Lightweight Men's Double Sculls
OPPO Stefano,PRATA,2024-08-02,MASCULINO,1994-09-12,Italy,Rowing,Lightweight Men's Double Sculls
SOARES Gabriel,PRATA,2024-08-02,MASCULINO,1997-01-22,Italy,Rowing,Lightweight Men's Double Sculls
PAPAKONSTANTINOU Antonios,BRONZE,2024-08-02,MASCULINO,1999-03-18,Greece,Rowing,Lightweight Men's Double Sculls
GKAIDATZIS Petros,BRONZE,2024-08-02,MASCULINO,2000-11-25,Greece,Rowing,Lightweight Men's Double Sculls
CRAIG Emily,OURO,2024-08-02,FEMININO,1992-11-30,Great Britain,Rowing,Lightweight Women's Double Sculls
GRANT Imogen,OURO,2024-08-02,FEMININO,1996-02-26,Great Britain,Rowing,Lightweight Women's Double Sculls
van GRONINGEN Gianina Elena,PRATA,2024-08-02,FEMININO,1995-05-21,Romania,Rowing,Lightweight Women's Double Sculls
COZMIUC Ionela Livia,PRATA,2024-08-02,FEMININO,1995-01-03,Romania,Rowing,Lightweight Women's Double Sculls
KONTOU Dimitra,BRONZE,2024-08-02,FEMININO,2005-09-23,Greece,Rowing,Lightweight Women's Double Sculls
FITSIOU Zoi,BRONZE,2024-08-02,FEMININO,1995-09-14,Greece,Rowing,Lightweight Women's Double Sculls
SINKOVIC Martin,OURO,2024-08-02,MASCULINO,1989-11-10,Croatia,Rowing,Men's Pair
SINKOVIC Valent,OURO,2024-08-02,MASCULINO,1988-08-02,Croatia,Rowing,Men's Pair
WYNNE-GRIFFITH Oliver,PRATA,2024-08-02,MASCULINO,1994-05-29,Great Britain,Rowing,Men's Pair
GEORGE Tom,PRATA,2024-08-02,MASCULINO,1994-09-22,Great Britain,Rowing,Men's Pair
ROEOESLI Roman,BRONZE,2024-08-02,MASCULINO,1993-09-22,Switzerland,Rowing,Men's Pair
GULICH Andrin,BRONZE,2024-08-02,MASCULINO,1999-03-09,Switzerland,Rowing,Men's Pair
CLEVERING Ymkje,OURO,2024-08-02,FEMININO,1995-07-17,Netherlands,Rowing,Women's Pair
MEESTER Veronique,OURO,2024-08-02,FEMININO,1995-04-07,Netherlands,Rowing,Women's Pair
VRINCEANU Ioana,PRATA,2024-08-02,FEMININO,1994-03-07,Romania,Rowing,Women's Pair
ANGHEL Roxana,PRATA,2024-08-02,FEMININO,1998-01-01,Romania,Rowing,Women's Pair
MORRISON Jess,BRONZE,2024-08-02,FEMININO,1992-05-18,Australia,Rowing,Women's Pair
McINTYRE Annabelle,BRONZE,2024-08-02,FEMININO,1996-09-12,Australia,Rowing,Women's Pair
BOTIN le CHEVER Diego,OURO,2024-08-02,MASCULINO,1993-12-25,Spain,Sailing,Men's Skiff
TRITTEL PAUL Florian,OURO,2024-08-02,MASCULINO,1994-05-23,Spain,Sailing,Men's Skiff
McHARDIE Isaac,PRATA,2024-08-02,MASCULINO,1997-07-06,New Zealand,Sailing,Men's Skiff
McKENZIE William,PRATA,2024-08-02,MASCULINO,1997-02-19,New Zealand,Sailing,Men's Skiff
BARROWS Ian,BRONZE,2024-08-02,MASCULINO,1995-01-14,United States,Sailing,Men's Skiff
HENKEN Hans,BRONZE,2024-08-02,MASCULINO,1992-06-04,United States,Sailing,Men's Skiff
van AANHOLT Odile,OURO,2024-08-02,FEMININO,1998-01-14,Netherlands,Sailing,Women's Skiff
DUETZ Annette,OURO,2024-08-02,FEMININO,1993-06-29,Netherlands,Sailing,Women's Skiff
BOBECK Vilma,PRATA,2024-08-02,FEMININO,1998-01-05,Sweden,Sailing,Women's Skiff
NETZLER Rebecca,PRATA,2024-08-02,FEMININO,1995-07-22,Sweden,Sailing,Women's Skiff
STEYAERT Sarah,BRONZE,2024-08-02,FEMININO,1986-11-27,France,Sailing,Women's Skiff
PICON Charline,BRONZE,2024-08-02,FEMININO,1984-12-23,France,Sailing,Women's Skiff
SINIAKOVA Katerina,OURO,2024-08-02,FEMININO,1996-05-10,Czechia,Tennis,Mixed Doubles
MACHAC Tomas,OURO,2024-08-02,MASCULINO,2000-10-13,Czechia,Tennis,Mixed Doubles
WANG Xinyu,PRATA,2024-08-02,FEMININO,2001-09-26,China,Tennis,Mixed Doubles
ZHANG Zhizhen,PRATA,2024-08-02,MASCULINO,1996-10-16,China,Tennis,Mixed Doubles
DABROWSKI Gabriela,BRONZE,2024-08-02,FEMININO,1992-04-01,Canada,Tennis,Mixed Doubles
AUGER-ALIASSIME Felix,BRONZE,2024-08-02,MASCULINO,2000-08-08,Canada,Tennis,Mixed Doubles
KLEIN IKKINK Isaya,OURO,2024-08-03,MASCULINO,2003-05-13,Netherlands,Athletics,4 x 400m Relay Mixed
OMALLA Eugene,OURO,2024-08-03,MASCULINO,2000-10-05,Netherlands,Athletics,4 x 400m Relay Mixed
BOL Femke,OURO,2024-08-03,FEMININO,2000-02-23,Netherlands,Athletics,4 x 400m Relay Mixed
KLAVER Lieke,OURO,2024-08-03,FEMININO,1998-08-20,Netherlands,Athletics,4 x 400m Relay Mixed
PEETERS Cathelijn,OURO,2024-08-03,FEMININO,1996-11-06,Netherlands,Athletics,4 x 400m Relay Mixed
BOERS Isayah,OURO,2024-08-03,MASCULINO,1999-06-19,Netherlands,Athletics,4 x 400m Relay Mixed
DEADMON Bryce,PRATA,2024-08-03,MASCULINO,1997-03-26,United States,Athletics,4 x 400m Relay Mixed
NORWOOD Vernon,PRATA,2024-08-03,MASCULINO,1992-04-10,United States,Athletics,4 x 400m Relay Mixed
WILSON Quincy,PRATA,2024-08-03,MASCULINO,2008-01-08,United States,Athletics,4 x 400m Relay Mixed
BROWN Kaylyn,PRATA,2024-08-03,FEMININO,2004-12-31,United States,Athletics,4 x 400m Relay Mixed
LITTLE Shamier,PRATA,2024-08-03,FEMININO,1995-03-20,United States,Athletics,4 x 400m Relay Mixed
WHITTAKER Isabella,PRATA,2024-08-03,FEMININO,2002-02-15,United States,Athletics,4 x 400m Relay Mixed
DAVEY Lewis,BRONZE,2024-08-03,MASCULINO,2000-10-24,Great Britain,Athletics,4 x 400m Relay Mixed
HAYDOCK-WILSON Alex,BRONZE,2024-08-03,MASCULINO,1999-07-28,Great Britain,Athletics,4 x 400m Relay Mixed
JEFFERIES Ben,BRONZE,2024-08-03,MASCULINO,1999-09-10,Great Britain,Athletics,4 x 400m Relay Mixed
REARDON Samuel,BRONZE,2024-08-03,MASCULINO,2003-10-30,Great Britain,Athletics,4 x 400m Relay Mixed
ANNING Amber,BRONZE,2024-08-03,FEMININO,2000-11-18,Great Britain,Athletics,4 x 400m Relay Mixed
KELLY Hannah,BRONZE,2024-08-03,FEMININO,2000-12-20,Great Britain,Athletics,4 x 400m Relay Mixed
NIELSEN Laviai,BRONZE,2024-08-03,FEMININO,1996-03-13,Great Britain,Athletics,4 x 400m Relay Mixed
WILLIAMS Jodie,BRONZE,2024-08-03,FEMININO,1993-09-28,Great Britain,Athletics,4 x 400m Relay Mixed
YEARGIN Nicole,BRONZE,2024-08-03,FEMININO,1997-08-11,Great Britain,Athletics,4 x 400m Relay Mixed
CHEN Qing Chen,OURO,2024-08-03,FEMININO,1997-06-23,China,Badminton,Women's Doubles
JIA Yi Fan,OURO,2024-08-03,FEMININO,1997-06-29,China,Badminton,Women's Doubles
LIU Sheng Shu,PRATA,2024-08-03,FEMININO,2004-04-08,China,Badminton,Women's Doubles
TAN Ning,PRATA,2024-08-03,FEMININO,2003-04-03,China,Badminton,Women's Doubles
MATSUYAMA Nami,BRONZE,2024-08-03,FEMININO,1998-06-28,Japan,Badminton,Women's Doubles
SHIDA Chiharu,BRONZE,2024-08-03,FEMININO,1997-04-29,Japan,Badminton,Women's Doubles
von BREDOW-WERNDL Jessica,OURO,2024-08-03,FEMININO,1986-02-16,Germany,Equestrian,Dressage Team
WANDRES Frederic,OURO,2024-08-03,MASCULINO,1987-03-25,Germany,Equestrian,Dressage Team
WERTH Isabell,OURO,2024-08-03,FEMININO,1969-07-21,Germany,Equestrian,Dressage Team
ROTHENBERGER Soenke,OURO,2024-08-03,MASCULINO,1994-10-14,Germany,Equestrian,Dressage Team
BACHMANN ANDERSEN Daniel,PRATA,2024-08-03,MASCULINO,1990-06-01,Denmark,Equestrian,Dressage Team
LAUDRUP-DUFOUR Cathrine,PRATA,2024-08-03,FEMININO,1992-01-02,Denmark,Equestrian,Dressage Team
SKODBORG MERRALD Nanna,PRATA,2024-08-03,FEMININO,1993-10-08,Denmark,Equestrian,Dressage Team
SLOTH Nadja Aaboe,PRATA,2024-08-03,FEMININO,1992-10-23,Denmark,Equestrian,Dressage Team
FRY Charlotte,BRONZE,2024-08-03,FEMININO,1996-02-11,Great Britain,Equestrian,Dressage Team
HESTER Carl,BRONZE,2024-08-03,MASCULINO,1967-06-29,Great Britain,Equestrian,Dressage Team
MOODY Becky,BRONZE,2024-08-03,FEMININO,1980-03-16,Great Britain,Equestrian,Dressage Team
GOULD Andrew,BRONZE,2024-08-03,MASCULINO,1980-05-21,Great Britain,Equestrian,Dressage Team
KHARLAN Olga,OURO,2024-08-03,FEMININO,1990-09-04,Ukraine,Fencing,Women's Sabre Team
KOMASHCHUK Alina,OURO,2024-08-03,FEMININO,1993-04-24,Ukraine,Fencing,Women's Sabre Team
KRAVATSKA Olena,OURO,2024-08-03,FEMININO,1992-06-22,Ukraine,Fencing,Women's Sabre Team
BAKASTOVA Yuliia,OURO,2024-08-03,FEMININO,1996-06-26,Ukraine,Fencing,Women's Sabre Team
YOON Jisu,PRATA,2024-08-03,FEMININO,1993-01-24,Korea,Fencing,Women's Sabre Team
JEON Hayoung,PRATA,2024-08-03,FEMININO,2001-08-18,Korea,Fencing,Women's Sabre Team
CHOI Sebin,PRATA,2024-08-03,FEMININO,2000-08-11,Korea,Fencing,Women's Sabre Team
JEON Eunhye,PRATA,2024-08-03,FEMININO,1997-08-01,Korea,Fencing,Women's Sabre Team
EMURA Misaki,BRONZE,2024-08-03,FEMININO,1998-11-20,Japan,Fencing,Women's Sabre Team
TAKASHIMA Risa,BRONZE,2024-08-03,FEMININO,1999-02-08,Japan,Fencing,Women's Sabre Team
FUKUSHIMA Shihomi,BRONZE,2024-08-03,FEMININO,1995-06-19,Japan,Fencing,Women's Sabre Team
OZAKI Seri,BRONZE,2024-08-03,FEMININO,2002-09-22,Japan,Fencing,Women's Sabre Team
BOUKLI Shirine,OURO,2024-08-03,FEMININO,1999-01-24,France,Judo,Mixed Team
BUCHARD Amandine,OURO,2024-08-03,FEMININO,1995-07-12,France,Judo,Mixed Team
CYSIQUE Sarah Leonie,OURO,2024-08-03,FEMININO,1998-07-06,France,Judo,Mixed Team
AGBEGNENOU Clarisse,OURO,2024-08-03,FEMININO,1992-10-25,France,Judo,Mixed Team
GAHIE Marie Eve,OURO,2024-08-03,FEMININO,1996-11-27,France,Judo,Mixed Team
DICKO Romane,OURO,2024-08-03,FEMININO,1999-09-30,France,Judo,Mixed Team
MALONGA Madeleine,OURO,2024-08-03,FEMININO,1993-12-25,France,Judo,Mixed Team
GABA Joan-Benjamin,OURO,2024-08-03,MASCULINO,2001-01-07,France,Judo,Mixed Team
KHYAR Walide,OURO,2024-08-03,MASCULINO,1995-06-09,France,Judo,Mixed Team
MKHEIDZE Luka,OURO,2024-08-03,MASCULINO,1996-01-05,France,Judo,Mixed Team
DJALO Alpha Oumar,OURO,2024-08-03,MASCULINO,1996-09-05,France,Judo,Mixed Team
NGAYAP HAMBOU Maxime-Gael,OURO,2024-08-03,MASCULINO,2001-06-22,France,Judo,Mixed Team
DIESSE Aurelien,OURO,2024-08-03,MASCULINO,1997-10-16,France,Judo,Mixed Team
RINER Teddy,OURO,2024-08-03,MASCULINO,1989-04-07,France,Judo,Mixed Team
ABE Uta,PRATA,2024-08-03,FEMININO,2000-07-14,Japan,Judo,Mixed Team
FUNAKUBO Haruka,PRATA,2024-08-03,FEMININO,1998-10-10,Japan,Judo,Mixed Team
TSUNODA Natsumi,PRATA,2024-08-03,FEMININO,1992-08-06,Japan,Judo,Mixed Team
NIIZOE Saki,PRATA,2024-08-03,FEMININO,1996-07-04,Japan,Judo,Mixed Team
TAKAICHI Miku,PRATA,2024-08-03,FEMININO,1994-04-07,Japan,Judo,Mixed Team
SONE Akira,PRATA,2024-08-03,FEMININO,2000-07-09,Japan,Judo,Mixed Team
TAKAYAMA Rika,PRATA,2024-08-03,FEMININO,1994-08-27,Japan,Judo,Mixed Team
ABE Hifumi,PRATA,2024-08-03,MASCULINO,1997-08-09,Japan,Judo,Mixed Team
HASHIMOTO Soichi,PRATA,2024-08-03,MASCULINO,1991-08-24,Japan,Judo,Mixed Team
NAGAYAMA Ryuju,PRATA,2024-08-03,MASCULINO,1996-04-15,Japan,Judo,Mixed Team
MURAO Sanshiro,PRATA,2024-08-03,MASCULINO,2000-08-28,Japan,Judo,Mixed Team
NAGASE Takanori,PRATA,2024-08-03,MASCULINO,1993-10-14,Japan,Judo,Mixed Team
SAITO Tatsuru,PRATA,2024-08-03,MASCULINO,2002-03-08,Japan,Judo,Mixed Team
WOLF Aaron,PRATA,2024-08-03,MASCULINO,1996-02-25,Japan,Judo,Mixed Team
PIMENTA Larissa,BRONZE,2024-08-03,FEMININO,1999-03-01,Brazil,Judo,Mixed Team
SILVA Rafaela,BRONZE,2024-08-03,FEMININO,1992-04-24,Brazil,Judo,Mixed Team
QUADROS Ketleyn,BRONZE,2024-08-03,FEMININO,1987-10-01,Brazil,Judo,Mixed Team
SOUZA Beatriz,BRONZE,2024-08-03,FEMININO,1998-05-20,Brazil,Judo,Mixed Team
CARGNIN Daniel,BRONZE,2024-08-03,MASCULINO,1997-12-20,Brazil,Judo,Mixed Team
LIMA Willian,BRONZE,2024-08-03,MASCULINO,2000-01-31,Brazil,Judo,Mixed Team
MACEDO Rafael,BRONZE,2024-08-03,MASCULINO,1994-08-15,Brazil,Judo,Mixed Team
SCHIMIDT Guilherme,BRONZE,2024-08-03,MASCULINO,2000-11-06,Brazil,Judo,Mixed Team
GONCALVES Leonardo,BRONZE,2024-08-03,MASCULINO,1996-03-01,Brazil,Judo,Mixed Team
SILVA Rafael,BRONZE,2024-08-03,MASCULINO,1987-05-11,Brazil,Judo,Mixed Team
HUH Mimi,BRONZE,2024-08-03,FEMININO,2002-12-19,Korea,Judo,Mixed Team
JUNG Yerin,BRONZE,2024-08-03,FEMININO,1996-07-15,Korea,Judo,Mixed Team
LEE Hyekyeong,BRONZE,2024-08-03,FEMININO,1996-01-12,Korea,Judo,Mixed Team
KIM Jisu,BRONZE,2024-08-03,FEMININO,2000-12-12,Korea,Judo,Mixed Team
KIM Hayun,BRONZE,2024-08-03,FEMININO,2000-01-07,Korea,Judo,Mixed Team
YOON Hyunji,BRONZE,2024-08-03,FEMININO,1994-02-14,Korea,Judo,Mixed Team
AN Baul,BRONZE,2024-08-03,MASCULINO,1994-03-25,Korea,Judo,Mixed Team
KIM Won Jin,BRONZE,2024-08-03,MASCULINO,1992-05-01,Korea,Judo,Mixed Team
HAN Juyeo,BRONZE,2024-08-03,MASCULINO,1999-04-21,Korea,Judo,Mixed Team
LEE Joonhwan,BRONZE,2024-08-03,MASCULINO,2002-06-19,Korea,Judo,Mixed Team
KIM Minjong,BRONZE,2024-08-03,MASCULINO,2000-09-01,Korea,Judo,Mixed Team
CARNEGIE Sholto,OURO,2024-08-03,MASCULINO,1995-02-28,Great Britain,Rowing,Men's Eight
GIBBS Rory,OURO,2024-08-03,MASCULINO,1994-04-03,Great Britain,Rowing,Men's Eight
BOLDING Morgan,OURO,2024-08-03,MASCULINO,1995-05-13,Great Britain,Rowing,Men's Eight
DAWSON Jacob,OURO,2024-08-03,MASCULINO,1993-11-02,Great Britain,Rowing,Men's Eight
ELWES Charles,OURO,2024-08-03,MASCULINO,1997-07-15,Great Britain,Rowing,Men's Eight
DIGBY Tom,OURO,2024-08-03,MASCULINO,1998-07-23,Great Britain,Rowing,Men's Eight
RUDKIN James,OURO,2024-08-03,MASCULINO,1994-07-07,Great Britain,Rowing,Men's Eight
FORD Tom,OURO,2024-08-03,MASCULINO,1992-10-03,Great Britain,Rowing,Men's Eight
BRIGHTMORE Harry,OURO,2024-08-03,MASCULINO,1994-07-01,Great Britain,Rowing,Men's Eight
RIENKS Ralf,PRATA,2024-08-03,MASCULINO,1997-09-23,Netherlands,Rowing,Men's Eight
MOLENAAR Olav,PRATA,2024-08-03,MASCULINO,1999-03-28,Netherlands,Rowing,Men's Eight
de GRAAF Sander,PRATA,2024-08-03,MASCULINO,1995-06-13,Netherlands,Rowing,Men's Eight
KNAB Ruben,PRATA,2024-08-03,MASCULINO,1988-02-19,Netherlands,Rowing,Men's Eight
van DOORN Gert-Jan,PRATA,2024-08-03,MASCULINO,1999-02-03,Netherlands,Rowing,Men's Eight
van de KERKHOF Jacob,PRATA,2024-08-03,MASCULINO,1995-10-12,Netherlands,Rowing,Men's Eight
van der BIJ Jan,PRATA,2024-08-03,MASCULINO,1991-09-25,Netherlands,Rowing,Men's Eight
MAKKER Mick,PRATA,2024-08-03,MASCULINO,1993-02-05,Netherlands,Rowing,Men's Eight
FETTER Dieuwke,PRATA,2024-08-03,FEMININO,1991-01-26,Netherlands,Rowing,Men's Eight
HOLLINGSWORTH Henry,BRONZE,2024-08-03,MASCULINO,1997-09-05,United States,Rowing,Men's Eight
RUSHER Nick,BRONZE,2024-08-03,MASCULINO,1999-06-10,United States,Rowing,Men's Eight
TABASH Christian,BRONZE,2024-08-03,MASCULINO,1999-05-14,United States,Rowing,Men's Eight
DEAN Clark,BRONZE,2024-08-03,MASCULINO,2000-02-03,United States,Rowing,Men's Eight
CARLSON Chris,BRONZE,2024-08-03,MASCULINO,1997-03-14,United States,Rowing,Men's Eight
CHATAIN Peter,BRONZE,2024-08-03,MASCULINO,1999-11-08,United States,Rowing,Men's Eight
OLSON Evan,BRONZE,2024-08-03,MASCULINO,1997-07-26,United States,Rowing,Men's Eight
QUINTON Pieter,BRONZE,2024-08-03,MASCULINO,1998-02-11,United States,Rowing,Men's Eight
MILNE Rielly,BRONZE,2024-08-03,MASCULINO,1996-05-31,United States,Rowing,Men's Eight
RUSU Maria Magdalena,OURO,2024-08-03,FEMININO,1999-09-30,Romania,Rowing,Women's Eight
ANGHEL Roxana,OURO,2024-08-03,FEMININO,1998-01-01,Romania,Rowing,Women's Eight
BODNAR Ancuta,OURO,2024-08-03,FEMININO,1998-09-25,Romania,Rowing,Women's Eight
LEHACI Maria,OURO,2024-08-03,FEMININO,1999-06-28,Romania,Rowing,Women's Eight
ADAM Adriana,OURO,2024-08-03,FEMININO,1999-04-11,Romania,Rowing,Women's Eight
BERES Amalia,OURO,2024-08-03,FEMININO,1997-06-18,Romania,Rowing,Women's Eight
VRINCEANU Ioana,OURO,2024-08-03,FEMININO,1994-03-07,Romania,Rowing,Women's Eight
RADIS Simona,OURO,2024-08-03,FEMININO,1999-04-05,Romania,Rowing,Women's Eight
PETREANU Victoria Stefania,OURO,2024-08-03,FEMININO,2003-01-21,Romania,Rowing,Women's Eight
SEVICK Jessica,PRATA,2024-08-03,FEMININO,1989-07-15,Canada,Rowing,Women's Eight
FILMER Caileigh,PRATA,2024-08-03,FEMININO,1996-12-18,Canada,Rowing,Women's Eight
MESCHKULEIT Maya,PRATA,2024-08-03,FEMININO,2001-07-28,Canada,Rowing,Women's Eight
GRUCHALLA-WESIERSKI Kasia,PRATA,2024-08-03,FEMININO,1991-03-31,Canada,Rowing,Women's Eight
WASTENEYS Avalon,PRATA,2024-08-03,FEMININO,1997-08-31,Canada,Rowing,Women's Eight
PAYNE Sydney,PRATA,2024-08-03,FEMININO,1997-09-16,Canada,Rowing,Women's Eight
WALKER Kristina,PRATA,2024-08-03,FEMININO,1996-05-09,Canada,Rowing,Women's Eight
DENT Abby,PRATA,2024-08-03,FEMININO,2002-03-04,Canada,Rowing,Women's Eight
KIT Kristen,PRATA,2024-08-03,FEMININO,1988-08-18,Canada,Rowing,Women's Eight
LONG Heidi,BRONZE,2024-08-03,FEMININO,1996-11-29,Great Britain,Rowing,Women's Eight
McKELLAR Rowan,BRONZE,2024-08-03,FEMININO,1994-05-24,Great Britain,Rowing,Women's Eight
DUNFORD Holly,BRONZE,2024-08-03,FEMININO,1999-10-14,Great Britain,Rowing,Women's Eight
FORD Emily,BRONZE,2024-08-03,FEMININO,1994-11-08,Great Britain,Rowing,Women's Eight
IRWIN Lauren,BRONZE,2024-08-03,FEMININO,1998-08-20,Great Britain,Rowing,Women's Eight
STEWART Eve,BRONZE,2024-08-03,FEMININO,1998-01-13,Great Britain,Rowing,Women's Eight
TAYLOR Harriet,BRONZE,2024-08-03,FEMININO,1994-02-14,Great Britain,Rowing,Women's Eight
CAMPBELL-ORDE Annie,BRONZE,2024-08-03,FEMININO,1995-10-05,Great Britain,Rowing,Women's Eight
FIELDMAN Henry,BRONZE,2024-08-03,MASCULINO,1988-11-25,Great Britain,Rowing,Women's Eight
SMITH Regan,OURO,2024-08-03,FEMININO,2002-02-09,United States,Swimming,Mixed 4 x 100m Medley Relay
SWANSON Charlie,OURO,2024-08-03,MASCULINO,1998-02-20,United States,Swimming,Mixed 4 x 100m Medley Relay
DRESSEL Caeleb,OURO,2024-08-03,MASCULINO,1996-08-16,United States,Swimming,Mixed 4 x 100m Medley Relay
WEITZEIL Abbey,OURO,2024-08-03,FEMININO,1996-12-03,United States,Swimming,Mixed 4 x 100m Medley Relay
FINK Nic,OURO,2024-08-03,MASCULINO,1993-07-03,United States,Swimming,Mixed 4 x 100m Medley Relay
HUSKE Torri,OURO,2024-08-03,FEMININO,2002-12-07,United States,Swimming,Mixed 4 x 100m Medley Relay
MURPHY Ryan,OURO,2024-08-03,MASCULINO,1995-07-02,United States,Swimming,Mixed 4 x 100m Medley Relay
WALSH Gretchen,OURO,2024-08-03,FEMININO,2003-01-29,United States,Swimming,Mixed 4 x 100m Medley Relay
XU Jiayu,PRATA,2024-08-03,MASCULINO,1995-08-19,China,Swimming,Mixed 4 x 100m Medley Relay
TANG Qianting,PRATA,2024-08-03,FEMININO,2004-03-14,China,Swimming,Mixed 4 x 100m Medley Relay
ZHANG Yufei,PRATA,2024-08-03,FEMININO,1998-04-19,China,Swimming,Mixed 4 x 100m Medley Relay
PAN Zhanle,PRATA,2024-08-03,MASCULINO,2004-08-04,China,Swimming,Mixed 4 x 100m Medley Relay
QIN Haiyang,PRATA,2024-08-03,MASCULINO,1999-05-17,China,Swimming,Mixed 4 x 100m Medley Relay
YANG Junxuan,PRATA,2024-08-03,FEMININO,2002-01-26,China,Swimming,Mixed 4 x 100m Medley Relay
ANDERSON Iona,BRONZE,2024-08-03,FEMININO,2005-10-03,Australia,Swimming,Mixed 4 x 100m Medley Relay
STUBBLETY-COOK Zac,BRONZE,2024-08-03,MASCULINO,1999-01-04,Australia,Swimming,Mixed 4 x 100m Medley Relay
McKEON Emma,BRONZE,2024-08-03,FEMININO,1994-05-24,Australia,Swimming,Mixed 4 x 100m Medley Relay
CHALMERS Kyle,BRONZE,2024-08-03,MASCULINO,1998-06-25,Australia,Swimming,Mixed 4 x 100m Medley Relay
McKEOWN Kaylee,BRONZE,2024-08-03,FEMININO,2001-07-12,Australia,Swimming,Mixed 4 x 100m Medley Relay
O'CALLAGHAN Mollie,BRONZE,2024-08-03,FEMININO,2004-04-02,Australia,Swimming,Mixed 4 x 100m Medley Relay
TEMPLE Matthew,BRONZE,2024-08-03,MASCULINO,1999-06-20,Australia,Swimming,Mixed 4 x 100m Medley Relay
YONG Joshua,BRONZE,2024-08-03,MASCULINO,2001-07-24,Australia,Swimming,Mixed 4 x 100m Medley Relay
EBDEN Matthew,OURO,2024-08-03,MASCULINO,1987-11-26,Australia,Tennis,Men's Doubles
PEERS John,OURO,2024-08-03,MASCULINO,1988-07-25,Australia,Tennis,Men's Doubles
KRAJICEK Austin,PRATA,2024-08-03,MASCULINO,1990-06-16,United States,Tennis,Men's Doubles
RAM Rajeev,PRATA,2024-08-03,MASCULINO,1984-03-18,United States,Tennis,Men's Doubles
FRITZ Taylor,BRONZE,2024-08-03,MASCULINO,1997-10-28,United States,Tennis,Men's Doubles
PAUL Tommy,BRONZE,2024-08-03,MASCULINO,1997-05-17,United States,Tennis,Men's Doubles
LEE Yang,OURO,2024-08-04,MASCULINO,1995-08-12,Chinese Taipei,Badminton,Men's Doubles
WANG Chi-Lin,OURO,2024-08-04,MASCULINO,1995-01-18,Chinese Taipei,Badminton,Men's Doubles
LIANG Wei Keng,PRATA,2024-08-04,MASCULINO,2000-11-30,China,Badminton,Men's Doubles
WANG Chang,PRATA,2024-08-04,MASCULINO,2001-05-07,China,Badminton,Men's Doubles
CHIA Aaron,BRONZE,2024-08-04,MASCULINO,1997-02-24,Malaysia,Badminton,Men's Doubles
SOH Wooi Yik,BRONZE,2024-08-04,MASCULINO,1998-02-17,Malaysia,Badminton,Men's Doubles
MATSUYAMA Kyosuke,OURO,2024-08-04,MASCULINO,1996-12-19,Japan,Fencing,Men's Foil Team
IIMURA Kazuki,OURO,2024-08-04,MASCULINO,2003-12-27,Japan,Fencing,Men's Foil Team
SHIKINE Takahiro,OURO,2024-08-04,MASCULINO,1997-12-07,Japan,Fencing,Men's Foil Team
NAGANO Yudai,OURO,2024-08-04,MASCULINO,1998-10-15,Japan,Fencing,Men's Foil Team
