name,medal_type,medal_date,gender,birth_date,country,discipline,event
HUH Mimi,PRATA,2024-07-29,FEMININO,2002-12-19,Korea,Judo,Women -57 kg
FUNAKUBO Haruka,BRONZE,2024-07-29,FEMININO,1998-10-10,Japan,Judo,Women -57 kg
CYSIQUE Sarah Leonie,BRONZE,2024-07-29,FEMININO,1998-07-06,France,Judo,Women -57 kg
SHENG Lihao,OURO,2024-07-29,MASCULINO,2004-12-04,China,Shooting,10m Air Rifle Men
LINDGREN Victor,PRATA,2024-07-29,MASCULINO,2003-05-16,Sweden,Shooting,10m Air Rifle Men
MARICIC Miran,BRONZE,2024-07-29,MASCULINO,1997-06-17,Croatia,Shooting,10m Air Rifle Men
BAN Hyojin,OURO,2024-07-29,FEMININO,2007-09-20,Korea,Shooting,10m Air Rifle Women
HUANG Yuting,PRATA,2024-07-29,FEMININO,2006-09-03,China,Shooting,10m Air Rifle Women
GOGNIAT Audrey,BRONZE,2024-07-29,FEMININO,2002-10-30,Switzerland,Shooting,10m Air Rifle Women
HORIGOME Yuto,OURO,2024-07-29,MASCULINO,1999-01-07,Japan,Skateboarding,Men's Street
EATON Jagger,PRATA,2024-07-29,MASCULINO,2001-02-21,United States,Skateboarding,Men's Street
HUSTON Nyjah,BRONZE,2024-07-29,MASCULINO,1994-11-30,United States,Skateboarding,Men's Street
CECCON Thomas,OURO,2024-07-29,MASCULINO,2001-01-27,Italy,Swimming,Men's 100m Backstroke
XU Jiayu,PRATA,2024-07-29,MASCULINO,1995-08-19,China,Swimming,Men's 100m Backstroke
MURPHY Ryan,BRONZE,2024-07-29,MASCULINO,1995-07-02,United States,Swimming,Men's 100m Backstroke
POPOVICI David,OURO,2024-07-29,MASCULINO,2004-09-15,Romania,Swimming,Men's 200m Freestyle
RICHARDS Matthew,PRATA,2024-07-29,MASCULINO,2002-12-17,Great Britain,Swimming,Men's 200m Freestyle
HOBSON Luke,BRONZE,2024-07-29,MASCULINO,2003-06-25,United States,Swimming,Men's 200m Freestyle
SMITH Tatjana,OURO,2024-07-29,FEMININO,1997-07-09,South Africa,Swimming,Women's 100m Breaststroke
TANG Qianting,PRATA,2024-07-29,FEMININO,2004-03-14,China,Swimming,Women's 100m Breaststroke
Mc SHARRY Mona,BRONZE,2024-07-29,FEMININO,2000-08-21,Ireland,Swimming,Women's 100m Breaststroke
O'CALLAGHAN Mollie,OURO,2024-07-29,FEMININO,2004-04-02,Australia,Swimming,Women's 200m Freestyle
TITMUS Ariarne,PRATA,2024-07-29,FEMININO,2000-09-07,Australia,Swimming,Women's 200m Freestyle
HAUGHEY Siobhan Bernadette,BRONZE,2024-07-29,FEMININO,1997-10-31,Hong Kong,Swimming,Women's 200m Freestyle
McINTOSH Summer,OURO,2024-07-29,FEMININO,2006-08-18,Canada,Swimming,Women's 400m Individual Medley
GRIMES Katie,PRATA,2024-07-29,FEMININO,2006-01-08,United States,Swimming,Women's 400m Individual Medley
WEYANT Emma,BRONZE,2024-07-29,FEMININO,2001-12-24,United States,Swimming,Women's 400m Individual Medley
NAGASE Takanori,OURO,2024-07-30,MASCULINO,1993-10-14,Japan,Judo,Men -81 kg
GRIGALASHVILI Tato,PRATA,2024-07-30,MASCULINO,1999-12-01,Georgia,Judo,Men -81 kg
LEE Joonhwan,BRONZE,2024-07-30,MASCULINO,2002-06-19,Korea,Judo,Men -81 kg
MAKHMADBEKOV Somon,BRONZE,2024-07-30,MASCULINO,1999-03-24,Tajikistan,Judo,Men -81 kg
LESKI Andreja,OURO,2024-07-30,FEMININO,1997-01-08,Slovenia,Judo,Women -63 kg
AWITI ALCARAZ Prisca,PRATA,2024-07-30,FEMININO,1996-02-20,Mexico,Judo,Women -63 kg
AGBEGNENOU Clarisse,BRONZE,2024-07-30,FEMININO,1992-10-25,France,Judo,Women -63 kg
FAZLIU Laura,BRONZE,2024-07-30,FEMININO,2000-09-28,Kosovo,Judo,Women -63 kg
HALES Nathan,OURO,2024-07-30,MASCULINO,1996-06-16,Great Britain,Shooting,Trap Men
QI Ying,PRATA,2024-07-30,MASCULINO,1997-01-23,China,Shooting,Trap Men
BROL CARDENAS Jean Pierre,BRONZE,2024-07-30,MASCULINO,1982-12-18,Guatemala,Shooting,Trap Men
WIFFEN Daniel,OURO,2024-07-30,MASCULINO,2001-07-14,Ireland,Swimming,Men's 800m Freestyle
FINKE Bobby,PRATA,2024-07-30,MASCULINO,1999-11-06,United States,Swimming,Men's 800m Freestyle
PALTRINIERI Gregorio,BRONZE,2024-07-30,MASCULINO,1994-09-05,Italy,Swimming,Men's 800m Freestyle
McKEOWN Kaylee,OURO,2024-07-30,FEMININO,2001-07-12,Australia,Swimming,Women's 100m Backstroke
SMITH Regan,PRATA,2024-07-30,FEMININO,2002-02-09,United States,Swimming,Women's 100m Backstroke
BERKOFF Katharine,BRONZE,2024-07-30,FEMININO,2001-01-28,United States,Swimming,Women's 100m Backstroke
OKA Shinnosuke,OURO,2024-07-31,MASCULINO,2003-10-31,Japan,Artistic Gymnastics,Men's All-Around
ZHANG Boheng,PRATA,2024-07-31,MASCULINO,2000-03-04,China,Artistic Gymnastics,Men's All-Around
